no.,ActualOnFPC,setting,measure,x1,x2,x3,x4,x5
0,109.30071552178242,110.0,112.21399998641947,62.163256390991954,49.04051590479658,41.16591182069602,55.89366398801523,52.18446594598923
1,110.89225253396401,110.0,116.23576717934502,66.33040019631467,53.59624493287639,45.52529766810517,59.727004758659355,56.33098015645501
2,110.10614033314562,110.0,114.17654590013107,64.25554179673834,51.16460513876431,43.747954615643536,57.80747215125177,54.29571229459229
3,110.01701065098676,110.0,113.11359611304128,63.01226614209079,49.47841682190694,41.10108466354947,56.18428503686343,52.635720755149414
4,109.84957962348666,110.0,113.75524001784055,63.682776256988724,50.44807468817433,42.45590850548297,56.72794177643509,53.287760084964226
5,110.11144699798369,110.0,114.34317185122855,64.18613615043633,51.555675327917754,43.109282197831384,57.889527891213866,54.53131075988212
6,111.48498118697961,110.0,117.43091369461321,67.41061621929293,54.67973865973684,46.65824265262152,61.16238923962899,57.44449205873683
7,111.02087969620781,110.0,116.12028658730918,66.17193870757256,53.24983771716067,44.81885391817357,59.77988492042962,56.20052925907062
8,110.21895279557029,110.0,114.52470244638006,64.55791521570875,51.87262346518806,43.67180392606893,58.458926961563606,55.12833451294628
9,111.42612957087123,110.0,116.81467863803103,66.69150270622531,53.95616711003739,45.16718392132417,60.50458785339847,57.05783534827957
10,109.55224865358133,110.0,113.36487706813146,63.402471048175,50.701019226247,42.605291557685504,57.11304877289807,52.78971776453124
11,110.0555422777434,110.0,114.31615330547992,64.48194863323843,51.63514234880961,43.72931305041844,57.972761179105746,54.09225634316767
12,109.9732315905894,110.0,114.12757197233769,64.07662340918804,51.3282314026379,43.33760174992897,57.570508791807676,54.33355898982228
13,109.69367768022504,110.0,114.16880129673605,64.52061155013783,51.80035323389017,44.35325578477922,57.67993009084263,53.64706396070709
14,109.44287837438854,110.0,112.68493434060994,62.72271482681639,49.63679330720342,41.93878210266382,56.34240499036298,52.67943350728374
15,108.63012232435587,110.0,111.21680230008343,61.191081086191446,48.06810612097443,40.7089642042328,54.39894154018017,50.974339522720804
16,109.36131910909154,110.0,112.60323004680437,62.7394488887569,49.89636077471969,41.88743422377205,56.15844472502202,52.10550426771161
17,109.92741903948023,110.0,114.25510389279965,64.26946747476725,51.82071126514148,44.058081101931556,58.02839300054605,54.259485600623925
18,110.94166800524721,110.0,116.40368073503502,66.32433174557747,53.46148121715588,45.66874778216275,59.86879584465137,56.77546022297626
19,109.85567357439216,110.0,113.56646941827356,63.45624181642811,50.475558253597875,42.34572742980502,57.21076224451611,53.88275527319349
20,109.40124026900386,110.0,113.02456952236044,62.756436824203874,50.09740693117106,42.21367427843366,56.14600475111822,52.684568591245345
21,108.74586407477568,110.0,111.2115247397557,61.29556077641536,48.15108588270439,40.09209816415548,54.36790739426064,51.524789611198145
22,109.78295566716504,110.0,113.91551111781152,63.92540438365454,51.58154021881704,43.08775295629122,57.65146246302648,54.034222198042244
23,110.84926693026226,110.0,115.64991192828478,65.49566785503197,52.347188321231165,44.399424381879754,58.850108235198874,55.875021296608175
24,110.58027352215798,110.0,115.36551735446297,65.28189607214252,52.57198412991749,44.403445266477505,59.11290017029453,56.01734035295585
