internal_temp2_1,Seconds2_1,TC1_2_1,TC3_2_1,TC4_2_1,TC5_2_1,TC7_2_1,TC8_2_1,TC9_2_1
34.78,218.5,266.01,239.01,243.56,243.12,235.12,244.4,248.73
34.84,218.75,265.9,238.84,243.45,243.73,235.45,244.67,248.78
34.84,219.0,265.73,237.95,243.17,243.9,235.84,244.73,248.95
34.9,219.25,265.73,237.34,243.01,244.06,236.62,244.84,249.45
34.9,219.5,265.78,236.9,242.95,243.9,237.34,244.73,249.9
34.95,219.75,266.06,236.78,243.06,243.67,238.23,244.67,250.56
34.95,220.0,266.34,237.23,243.17,243.28,239.01,244.56,251.06
35.01,220.25,267.95,238.45,243.78,243.12,239.62,244.67,251.4
35.01,220.5,270.12,239.67,244.67,242.84,239.95,244.78,251.67
35.06,220.75,271.17,241.12,245.4,242.84,240.17,245.06,251.78
35.06,221.0,271.01,242.28,245.73,242.9,240.12,245.34,251.78
35.12,221.25,270.45,242.45,245.78,243.17,239.9,245.73,251.62
35.12,221.5,269.62,242.45,245.78,243.56,239.67,246.28,251.56
35.17,221.75,269.23,241.84,245.45,243.95,239.51,246.67,251.45
35.17,222.0,269.06,241.06,245.23,244.4,239.56,247.01,251.45
35.17,222.25,268.78,240.4,245.06,244.67,239.78,247.28,251.62
35.23,222.5,268.84,239.84,244.9,244.73,239.95,247.28,251.78
35.23,222.75,268.95,239.56,244.84,244.67,240.4,247.28,252.01
35.28,223.0,269.17,239.4,244.78,244.67,240.84,247.23,252.4
35.28,223.25,269.28,239.73,245.01,244.56,241.28,247.12,252.78
35.34,223.5,269.45,240.84,245.23,244.4,241.56,246.9,253.12
35.4,223.75,269.62,242.45,245.67,244.28,241.67,246.67,253.23
35.4,224.0,269.62,243.84,246.4,244.23,241.84,246.56,253.4
35.4,224.25,269.56,244.51,246.95,244.06,241.73,246.34,253.23
35.45,224.5,269.56,244.67,247.06,243.95,241.62,246.17,253.12
35.45,224.75,269.4,244.67,247.12,243.78,241.56,245.9,252.95
35.51,225.0,269.28,244.17,247.06,243.67,241.67,245.73,252.78
35.51,225.25,269.12,243.67,246.9,243.51,241.9,245.51,252.62
35.56,225.5,268.95,242.95,246.73,243.4,242.17,245.4,252.45
35.56,225.75,268.84,242.4,246.45,243.23,242.4,245.28,252.17
35.62,226.0,268.9,242.01,246.23,243.17,243.01,245.17,251.95
35.62,226.25,269.01,242.01,246.01,243.06,243.51,245.06,251.84
35.67,226.5,269.45,242.78,245.78,243.01,243.9,245.12,251.56
35.67,226.75,271.12,243.95,245.56,243.01,244.12,245.01,251.34
35.73,227.0,272.67,245.34,245.4,243.01,244.23,244.95,251.23
35.73,227.25,273.17,246.73,245.17,243.06,244.12,245.06,251.01
35.78,227.5,273.12,248.17,245.12,243.12,244.12,245.12,250.84
35.78,227.75,272.78,248.51,245.01,243.34,243.95,245.34,250.73
35.84,228.0,272.34,248.45,244.84,243.45,243.9,245.45,250.62
35.84,228.25,271.95,248.06,244.73,243.62,244.06,245.73,250.56
35.9,228.5,271.56,247.06,244.67,243.84,244.34,246.01,250.34
35.95,228.75,270.78,246.4,244.67,244.12,244.9,246.45,250.28
35.95,229.0,270.12,245.56,244.67,244.4,245.45,246.84,250.23
36.01,229.25,269.4,245.01,244.62,244.56,245.9,247.17,250.17
36.06,229.5,269.06,244.67,244.67,244.73,246.45,247.51,250.12
36.06,229.75,268.56,244.67,244.73,244.9,246.9,247.73,250.23
36.12,230.0,268.28,245.28,244.84,244.9,246.9,247.84,250.23
36.12,230.25,267.84,246.12,244.9,244.9,246.9,247.78,250.34
36.17,230.5,267.4,246.73,245.17,244.9,246.84,247.84,250.56
36.17,230.75,266.78,247.62,245.34,244.78,246.73,247.67,250.73
36.23,231.0,266.23,248.01,245.62,244.78,246.51,247.62,250.9
36.23,231.25,265.45,248.12,245.95,244.84,246.45,247.51,251.06
36.28,231.5,264.9,247.95,246.4,244.9,246.67,247.62,251.12
36.28,231.75,264.4,247.51,246.73,245.01,246.9,247.56,251.23
36.34,232.0,263.9,247.06,246.84,245.28,247.17,247.56,251.23
36.34,232.25,263.45,246.67,246.78,245.51,247.62,247.84,251.28
36.4,232.5,263.06,246.23,246.73,245.9,248.06,247.9,251.23
36.4,232.75,262.78,245.78,246.56,246.12,248.45,248.01,251.23
36.45,233.0,262.45,245.45,246.51,246.4,248.78,248.23,251.28
36.51,233.25,262.23,245.28,246.45,246.4,248.9,248.34,251.34
36.51,233.5,261.95,245.06,246.4,246.34,249.01,248.4,251.45
36.51,233.75,261.67,245.01,246.51,246.28,248.9,248.4,251.67
