internal_temp7_2,Seconds7_2,TC1_7_2,TC3_7_2,TC4_7_2,TC5_7_2,TC6_7_2,TC7_7_2,TC8_7_2,TC9_7_2
50.84,291.25,206.78,242.01,229.9,226.62,242.17,243.51,220.12,220.51
50.9,291.5,203.01,241.9,228.62,226.45,242.12,243.17,219.9,219.45
50.9,291.75,199.56,241.84,227.51,226.56,242.01,243.01,219.45,218.45
50.95,292.0,196.28,241.56,226.56,226.67,241.84,242.73,219.06,217.67
50.95,292.25,191.34,241.45,225.23,226.78,241.73,242.62,218.45,216.84
51.01,292.5,187.56,241.17,224.23,226.9,241.67,242.56,217.78,216.23
51.06,292.75,184.12,241.06,223.62,226.78,241.12,242.23,216.56,215.78
51.06,293.0,180.51,240.9,223.01,226.34,240.28,242.01,215.4,215.28
51.12,293.25,178.23,240.73,222.45,225.62,239.56,241.84,214.51,214.73
51.12,293.5,175.9,240.67,222.28,224.73,238.34,241.62,213.56,214.17
51.17,293.75,173.62,240.4,222.17,224.01,237.4,241.4,212.56,213.51
51.17,294.0,171.78,240.12,222.23,223.01,236.01,240.95,211.56,212.78
51.23,294.25,170.62,239.56,222.28,222.06,233.73,240.51,210.9,211.51
51.28,294.5,168.95,239.06,222.45,221.51,232.78,240.06,210.78,210.17
51.28,294.75,167.17,238.62,222.62,221.17,232.01,239.84,211.01,209.06
51.34,295.0,165.34,238.28,222.62,221.01,231.17,239.78,211.06,208.06
51.34,295.25,164.9,237.9,222.56,221.01,229.95,239.56,211.17,207.06
51.4,295.5,164.9,237.51,222.62,221.23,227.84,239.28,211.28,206.06
51.45,295.75,164.73,237.01,222.23,221.12,227.34,238.62,211.23,205.23
51.45,296.0,164.28,236.67,221.73,221.17,226.17,238.4,210.95,204.78
51.51,296.25,163.95,236.12,221.06,221.06,224.62,237.95,210.4,204.28
51.51,296.5,163.01,235.4,220.4,220.34,221.73,237.4,209.62,204.06
51.56,296.75,162.12,234.4,220.51,219.51,219.9,236.9,208.78,203.73
51.62,297.0,161.73,233.67,220.23,218.62,218.01,236.12,207.78,203.28
51.62,297.25,161.67,232.78,220.12,217.45,213.34,235.23,206.56,202.62
51.67,297.5,162.23,231.17,219.95,216.73,210.34,234.62,205.73,202.06
51.67,297.75,161.73,229.06,219.67,216.12,205.56,234.12,205.06,201.4
51.73,298.0,162.06,226.78,219.34,215.56,201.56,233.28,204.45,200.45
51.78,298.25,161.9,224.28,218.62,215.23,201.67,232.28,204.12,199.45
51.78,298.5,162.34,222.62,217.9,215.12,200.28,231.17,204.06,198.67
51.84,298.75,162.01,221.78,217.23,215.01,200.51,230.23,204.23,197.78
51.84,299.0,161.78,220.45,216.4,215.06,203.34,229.23,204.28,197.06
51.9,299.25,161.73,219.4,215.56,215.12,204.9,228.51,204.23,196.28
51.9,299.5,161.34,219.06,214.34,215.06,207.01,227.17,204.28,195.67
51.95,299.75,160.62,219.06,213.73,215.01,209.17,225.95,204.23,195.01
52.01,300.0,160.28,219.73,213.28,214.84,210.01,223.95,203.9,194.78
52.01,300.25,158.45,220.01,213.01,214.28,209.73,222.45,203.45,194.73
52.06,300.5,156.73,220.45,212.4,213.56,208.45,221.4,202.84,194.67
52.12,300.75,154.56,221.17,212.06,212.12,208.06,220.4,202.28,194.78
52.12,301.0,151.9,221.73,211.78,210.78,206.23,219.9,201.51,194.73
52.17,301.25,150.95,222.4,211.73,209.9,205.4,219.78,200.56,194.67
52.23,301.5,150.34,222.45,211.45,209.01,204.17,219.84,199.62,194.51
52.28,301.75,147.67,221.62,211.23,208.17,198.28,220.06,198.95,194.56
52.34,302.0,144.06,221.01,210.78,207.67,194.06,220.12,198.28,194.56
52.34,302.25,140.84,219.28,210.28,207.34,192.56,220.34,198.06,194.23
52.4,302.5,138.9,217.84,209.9,206.95,194.9,220.12,197.9,193.56
52.4,302.75,136.73,215.84,209.23,206.78,198.28,219.67,198.06,193.01
52.45,303.0,134.9,214.51,208.4,206.51,196.56,219.06,198.4,192.28
52.45,303.25,132.78,214.73,207.4,206.34,195.78,218.34,198.62,191.78
52.51,303.5,131.23,214.51,205.4,205.78,196.9,217.23,198.9,191.23
52.51,303.75,129.95,214.67,204.12,205.23,199.06,216.01,199.17,190.9
