LDD test_1,LDD test_2,HHG_1,HHG_2,Cond.1_1,Cond.1_2,Cond.2_1,Cond.2_2,Cond.3_1,Cond.3_2,Cond.4_1,Cond.4_2,Cond.5_1,Cond.5_2,Cond.6_1,Cond.6_2,Cond.7_1,Cond.7_2,Cond.8_1,Cond.8_2,Cond.9_1,Cond.9_2
327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5,327.5
327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75,327.75
328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0
328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25,328.25
328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5,328.5
328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75,328.75
329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0
329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25,329.25
329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5,329.5
329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75,329.75
330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0
330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25,330.25
330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5,330.5
330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75,330.75
331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0
331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25,331.25
331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5,331.5
331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75,331.75
332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0
332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25,332.25
332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5,332.5
332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75,332.75
333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0
333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25,333.25
333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5,333.5
