internal_temp9_1,Seconds9_1,TC1_9_1,TC3_9_1,TC4_9_1,TC5_9_1,TC6_9_1,TC7_9_1,TC8_9_1,TC9_9_1
43.51,291.25,183.28,224.17,213.12,208.62,224.62,225.73,205.56,205.9
43.56,291.5,180.62,224.17,212.23,208.51,224.45,225.62,205.56,204.56
43.56,291.75,177.4,224.06,211.34,208.51,224.23,225.34,205.34,203.28
43.62,292.0,173.4,223.9,210.17,208.56,224.01,225.23,204.84,202.34
43.62,292.25,170.28,223.62,208.73,208.51,223.9,224.84,204.28,201.45
43.67,292.5,166.28,223.45,207.28,208.62,223.78,224.67,203.17,200.78
43.67,292.75,162.73,223.34,206.12,208.73,223.67,224.45,202.4,200.34
43.73,293.0,160.56,222.95,205.45,208.56,223.45,224.17,201.06,199.84
43.73,293.25,158.51,222.67,204.95,208.17,222.45,223.9,199.67,199.28
43.78,293.5,156.73,222.62,204.78,207.4,221.51,223.73,198.4,198.56
43.78,293.75,155.17,222.45,204.78,206.56,219.45,223.56,197.12,197.73
43.84,294.0,153.9,222.23,204.84,205.67,217.95,223.12,196.23,197.23
43.84,294.25,153.23,222.01,204.95,205.12,217.23,223.01,195.78,196.4
43.9,294.5,152.45,221.78,204.78,204.62,216.51,222.67,195.78,195.45
43.95,294.75,151.84,221.56,204.56,204.4,216.06,222.56,195.9,194.56
43.95,295.0,150.78,221.17,204.51,204.4,215.12,222.51,196.17,193.62
44.01,295.25,150.45,220.67,204.51,204.23,214.51,222.45,196.51,192.45
44.01,295.5,150.01,220.28,204.56,204.28,213.17,221.9,196.67,191.62
44.06,295.75,149.12,219.73,204.56,204.28,212.28,221.62,196.9,190.95
44.12,296.0,148.51,219.23,203.84,204.23,209.73,221.06,196.78,190.4
44.12,296.25,147.67,218.73,203.56,204.01,204.4,220.4,196.28,190.12
44.17,296.5,148.01,218.34,203.51,203.34,202.62,219.67,195.84,189.9
44.17,296.75,148.84,217.84,203.34,202.4,201.78,219.28,195.23,189.73
44.23,297.0,149.84,217.28,203.23,201.62,200.34,218.78,194.67,189.28
44.23,297.25,150.62,216.67,203.06,201.17,199.23,218.17,193.73,188.84
44.28,297.5,151.73,215.06,203.06,200.67,197.51,217.45,192.67,188.17
44.28,297.75,152.28,213.67,202.84,200.17,195.56,216.78,192.06,187.45
44.34,298.0,152.9,211.78,202.67,199.73,191.45,216.23,191.62,186.62
44.34,298.25,153.9,210.06,202.56,199.4,189.4,215.45,191.23,185.78
44.4,298.5,153.78,208.4,202.28,198.95,186.78,214.45,190.95,184.9
44.45,298.75,153.78,207.23,201.78,198.67,187.62,213.73,190.95,184.06
44.45,299.0,153.95,206.28,201.45,198.62,189.56,213.01,191.12,183.51
44.51,299.25,153.9,205.4,200.9,198.67,192.06,212.06,191.17,182.9
44.51,299.5,152.9,204.95,200.4,198.67,193.62,210.95,191.28,182.51
44.56,299.75,151.78,204.78,199.62,198.67,194.56,209.62,191.45,182.12
44.56,300.0,149.12,205.28,198.51,198.12,195.51,208.56,191.17,181.78
44.62,300.25,147.17,205.12,197.45,197.51,194.17,207.56,190.78,181.73
44.62,300.5,144.73,205.56,196.62,196.78,194.73,206.62,190.06,181.67
44.67,300.75,142.73,206.06,195.84,195.84,190.67,205.56,189.45,181.51
44.73,301.0,139.67,206.84,195.56,194.67,193.23,204.51,188.84,181.51
44.73,301.25,137.12,207.23,195.28,193.62,193.67,204.34,188.17,181.4
44.78,301.5,133.56,206.78,195.06,192.45,191.12,204.34,187.34,181.23
44.84,301.75,130.01,205.62,194.56,191.67,185.06,204.28,186.56,180.95
44.9,302.0,126.56,205.12,194.06,190.9,183.73,204.17,185.78,180.51
44.9,302.25,125.12,203.62,193.67,190.73,182.12,204.12,185.34,180.17
44.95,302.5,123.9,202.23,193.06,190.73,182.34,203.95,184.84,179.67
45.01,302.75,123.01,201.06,192.28,190.73,183.28,203.9,184.73,179.23
45.01,303.0,121.45,199.62,191.56,190.9,182.23,203.62,184.78,178.62
45.06,303.25,120.28,199.34,190.4,190.73,184.12,203.01,184.84,178.06
45.06,303.5,119.4,199.17,189.4,190.56,184.73,202.17,185.12,177.51
45.12,303.75,118.23,199.17,188.23,190.23,183.17,201.4,185.28,177.23
45.12,304.0,116.56,199.67,186.78,189.45,185.01,200.34,185.45,176.9
45.17,304.25,115.56,199.9,186.12,188.73,185.23,198.56,185.23,176.73
45.17,304.5,115.06,200.28,185.78,187.78,184.9,197.67,185.06,176.51
45.23,304.75,113.95,200.56,185.56,186.51,185.51,196.73,184.78,176.34
45.28,305.0,111.73,200.06,185.4,185.4,184.06,195.73,184.34,176.06
45.28,305.25,110.62,199.78,185.4,184.28,183.84,195.23,184.01,175.9
45.34,305.5,107.95,197.95,185.06,183.73,180.17,194.28,183.9,175.23
45.34,305.75,106.56,196.06,184.62,183.67,176.34,193.62,184.12,174.84
45.4,306.0,104.28,193.9,184.12,183.4,174.45,193.56,184.12,174.12
45.45,306.25,103.06,192.28,183.51,183.23,171.28,193.67,183.78,173.4
45.45,306.5,101.01,190.95,182.51,183.23,171.56,193.67,183.45,172.67
45.51,306.75,99.67,189.28,181.67,183.34,174.23,193.56,183.01,172.17
45.51,307.0,98.56,188.51,180.67,183.45,175.28,193.45,182.62,171.78
45.56,307.25,98.06,188.51,179.51,183.4,173.23,192.78,182.17,171.62
45.62,307.5,97.67,188.62,178.06,183.23,173.67,191.78,181.4,171.17
45.62,307.75,97.28,189.84,177.17,183.01,175.62,190.95,180.34,170.84
45.67,308.0,97.06,190.95,176.51,182.51,177.4,189.9,179.06,170.62
45.67,308.25,96.34,191.78,176.23,181.45,179.23,189.06,178.01,170.51
45.73,308.5,95.62,192.28,176.23,180.4,180.45,188.06,176.95,170.34
45.78,308.75,95.23,192.4,176.28,179.34,181.51,187.4,175.73,170.17
45.78,309.0,93.78,191.95,176.45,178.4,182.01,186.9,174.67,170.01
45.84,309.25,92.84,190.28,176.4,177.51,179.23,186.4,173.95,169.51
45.84,309.5,91.45,188.95,176.06,176.84,177.51,186.34,173.23,169.01
45.9,309.75,90.17,188.23,175.9,176.12,174.28,186.67,172.95,168.51
45.9,310.0,89.73,186.4,175.62,176.17,170.45,186.9,172.62,167.84
45.95,310.25,88.23,185.23,174.78,176.28,169.28,186.95,172.62,167.4
46.01,310.5,87.12,184.12,174.17,176.28,169.28,186.78,172.56,166.9
46.01,310.75,86.51,183.84,173.28,176.45,169.78,186.51,172.34,166.73
46.06,311.0,85.62,184.01,172.17,176.56,170.01,185.84,172.06,166.73
46.06,311.25,85.51,184.01,171.12,176.4,170.28,185.06,171.51,166.56
46.12,311.5,85.78,184.45,170.17,175.95,171.95,184.51,170.67,166.67
46.17,311.75,85.67,185.06,170.17,175.01,172.78,183.9,169.84,166.51
46.17,312.0,85.62,185.45,170.23,173.9,173.62,182.78,168.9,166.23
46.23,312.25,85.4,185.84,170.4,173.06,170.51,182.06,168.01,165.95
46.28,312.5,84.17,185.34,170.28,172.17,171.28,181.4,167.06,165.34
46.28,312.75,83.56,183.17,170.34,171.67,169.01,181.51,166.51,164.84
46.34,313.0,82.78,182.34,170.23,171.17,167.62,181.45,166.01,164.28
46.4,313.25,81.78,180.51,169.9,171.01,168.23,181.45,165.78,163.56
46.4,313.5,80.12,178.51,169.34,171.12,168.23,181.62,165.73,162.73
46.45,313.75,79.51,177.45,168.67,171.23,166.01,181.4,166.01,161.78
46.51,314.0,78.78,176.56,167.84,170.95,164.84,181.17,166.17,161.06
46.51,314.25,77.45,175.01,167.01,170.62,163.23,180.9,166.12,160.45
46.56,314.5,77.45,175.06,165.84,170.12,161.84,180.06,165.73,159.95
46.62,314.75,77.17,174.73,164.51,169.23,164.45,179.17,165.4,159.67
46.62,315.0,76.51,174.73,163.62,168.51,166.67,178.23,164.95,159.28
46.67,315.25,76.78,175.95,163.06,167.56,167.73,177.23,164.45,159.17
46.73,315.5,76.62,177.4,162.51,166.73,168.78,176.45,164.06,159.01
46.73,315.75,76.4,178.06,162.34,165.56,169.34,175.78,163.34,158.73
46.78,316.0,76.23,178.01,162.73,164.4,169.4,175.34,162.56,158.45
46.78,316.25,75.06,176.34,162.9,164.34,169.01,174.95,161.73,158.01
46.84,316.5,74.23,175.01,162.73,164.45,168.34,174.84,160.78,157.23
46.9,316.75,72.95,173.17,162.67,164.51,166.56,175.01,160.4,156.34
