internal_temp4_2,Seconds4_2,TC1_4_2,TC3_4_2,TC4_4_2,TC5_4_2,TC6_4_2,TC7_4_2,TC8_4_2,TC9_4_2
49.01,291.25,159.28,192.12,204.28,205.51,187.95,190.9,205.17,204.28
49.01,291.5,156.51,189.9,204.23,205.34,186.56,189.84,205.06,204.06
49.06,291.75,153.67,188.9,204.17,205.28,184.51,189.12,204.84,203.78
49.06,292.0,149.73,186.45,204.06,205.23,182.51,188.62,204.78,203.51
49.12,292.25,146.17,183.95,204.01,205.12,182.01,188.12,204.62,203.28
49.17,292.5,142.73,181.84,203.9,205.01,180.73,187.73,204.45,203.06
49.17,292.75,138.73,180.17,203.78,204.84,177.23,187.45,204.28,202.84
49.17,293.0,135.23,178.56,203.62,204.84,174.06,187.45,204.17,202.62
49.23,293.25,132.12,177.62,203.56,204.67,171.62,187.45,203.9,202.34
49.28,293.5,130.62,177.56,203.45,204.56,171.28,187.34,203.73,202.06
49.28,293.75,130.01,177.73,203.28,204.56,170.01,187.45,203.56,201.9
49.34,294.0,129.01,177.84,203.23,204.4,170.51,187.45,203.4,201.62
49.34,294.25,128.4,178.4,203.06,204.34,171.06,187.12,203.23,201.45
49.4,294.5,127.06,179.56,203.06,204.28,172.28,186.95,203.23,201.23
49.4,294.75,125.01,180.84,202.84,204.17,174.01,186.06,203.06,200.84
49.45,295.0,122.73,181.73,202.56,203.9,175.23,185.01,202.9,200.56
49.45,295.25,121.95,182.17,202.4,203.78,175.62,183.9,202.84,200.28
49.51,295.5,120.78,182.17,202.01,203.62,176.56,183.01,202.67,200.23
49.51,295.75,121.12,181.84,201.62,203.45,177.4,182.51,202.56,199.95
49.56,296.0,120.73,180.56,201.4,203.23,177.56,182.51,202.4,199.73
49.56,296.25,118.73,179.01,200.95,202.9,177.56,182.51,202.28,199.56
49.62,296.5,117.45,177.73,200.28,202.51,177.4,182.4,202.06,199.17
49.62,296.75,117.4,176.12,199.34,202.06,178.01,182.23,201.9,198.95
49.67,297.0,116.28,174.78,198.45,201.62,177.9,182.23,201.67,198.67
49.67,297.25,115.73,174.06,197.51,201.23,178.17,182.28,201.28,198.23
49.73,297.5,115.01,174.12,196.56,200.62,177.28,182.17,201.06,197.84
49.73,297.75,114.4,174.67,195.62,200.17,177.23,181.67,200.78,197.51
49.78,298.0,114.12,175.23,194.56,199.73,176.06,181.34,200.56,197.06
49.78,298.25,113.67,175.95,193.45,199.34,175.45,180.51,200.34,196.73
49.84,298.5,112.62,176.06,192.56,199.01,175.73,179.9,200.01,196.17
49.84,298.75,111.06,176.45,191.23,198.56,176.23,179.23,199.67,195.51
49.9,299.0,108.9,176.73,190.12,198.06,173.45,178.62,199.23,194.73
49.9,299.25,107.67,176.73,189.56,197.51,171.17,177.9,198.84,193.9
49.95,299.5,105.12,175.62,188.62,196.9,171.45,177.51,198.4,192.95
49.95,299.75,101.62,172.95,187.4,196.23,172.34,176.95,197.78,191.73
50.01,300.0,100.01,171.17,186.62,195.56,169.51,176.73,197.28,190.62
50.01,300.25,99.9,170.23,185.95,194.56,168.28,176.45,196.56,189.51
50.06,300.5,100.4,168.67,185.4,193.67,167.62,176.45,195.67,188.28
50.06,300.75,100.45,167.06,185.01,192.62,165.23,176.4,194.56,187.12
50.12,301.0,101.17,166.23,184.62,191.17,164.23,176.17,193.67,186.01
50.12,301.25,102.17,166.51,184.4,190.06,162.84,175.9,192.62,185.34
50.17,301.5,102.56,166.28,184.06,188.95,161.4,174.84,191.62,184.67
50.17,301.75,102.56,167.34,183.84,187.9,162.17,174.12,190.56,184.06
50.23,302.0,102.56,167.84,183.34,186.95,162.28,173.51,189.34,183.67
50.23,302.25,102.12,168.67,182.17,185.95,163.12,173.01,188.34,183.51
50.28,302.5,101.28,169.23,181.67,185.34,163.62,171.84,187.45,183.51
50.28,302.75,100.45,169.95,181.23,185.28,164.12,171.28,186.56,183.34
50.34,303.0,99.34,170.51,180.84,185.45,163.78,170.62,185.95,183.17
50.34,303.25,98.28,170.45,179.78,185.45,164.45,170.23,185.56,182.95
50.4,303.5,96.9,169.67,178.84,185.62,164.01,169.95,185.17,182.62
50.4,303.75,95.67,168.17,178.06,185.45,162.73,169.51,184.84,182.01
50.45,304.0,94.28,167.34,177.73,185.28,159.9,169.34,184.84,181.23
50.45,304.25,93.51,166.51,177.56,185.12,157.51,169.23,184.78,180.4
50.51,304.5,92.84,165.73,177.23,184.78,155.84,169.01,184.78,179.56
50.51,304.75,93.17,164.73,177.01,184.17,154.51,168.73,184.78,178.73
50.56,305.0,93.34,163.73,176.73,183.28,152.45,168.4,184.34,178.06
50.62,305.25,93.23,163.84,176.78,182.23,151.78,167.51,183.67,177.62
50.62,305.5,93.9,163.95,176.56,181.17,153.45,166.56,183.12,177.23
50.67,305.75,94.28,164.23,176.4,180.17,152.62,165.56,182.78,177.06
50.67,306.0,94.23,164.9,176.01,179.34,153.56,164.9,182.78,176.95
50.73,306.25,93.67,165.17,175.34,178.73,154.01,164.06,182.78,176.9
50.78,306.5,93.12,165.62,174.56,178.12,155.17,163.45,182.84,176.73
50.78,306.75,92.84,165.56,173.95,177.84,150.95,163.12,182.78,176.23
50.84,307.0,91.9,164.23,173.34,177.9,149.84,162.56,182.67,175.51
50.84,307.25,90.4,163.06,172.45,177.84,148.51,162.51,182.34,174.45
50.9,307.5,89.67,161.45,171.62,178.01,147.17,162.23,181.84,173.51
50.9,307.75,88.4,160.4,171.01,178.01,146.17,162.23,181.28,172.67
50.95,308.0,87.45,158.28,170.67,177.9,146.06,162.23,180.73,171.84
51.01,308.25,87.12,156.78,170.45,177.73,145.45,162.28,180.06,171.17
51.01,308.5,86.78,156.12,170.28,177.4,143.62,162.01,179.28,170.73
51.01,308.75,86.67,155.67,170.17,176.67,141.95,161.73,178.34,170.01
51.06,309.0,86.84,155.51,170.23,175.62,140.34,161.51,177.17,169.45
51.12,309.25,87.12,155.9,170.28,174.45,140.34,160.73,175.9,169.17
51.12,309.5,87.23,156.67,170.01,173.45,142.34,159.9,174.73,169.01
51.12,309.75,87.62,157.73,169.23,172.62,143.62,159.17,173.73,168.9
51.17,310.0,87.4,158.28,168.23,172.12,144.51,158.17,173.01,168.9
51.23,310.25,87.23,158.84,167.23,171.78,146.06,157.51,172.62,168.78
51.23,310.5,86.67,158.45,166.34,171.51,144.56,157.34,172.23,168.56
51.28,310.75,85.34,157.51,165.73,171.67,144.73,157.17,171.73,168.17
51.28,311.0,83.51,155.9,165.23,171.78,143.4,157.06,171.51,167.51
51.28,311.25,82.84,155.51,165.01,171.84,143.06,156.84,171.12,166.84
51.34,311.5,82.9,156.01,165.01,172.12,142.4,156.84,171.12,166.23
51.4,311.75,83.4,156.01,164.67,171.95,142.12,157.01,170.67,165.51
51.4,312.0,83.84,156.01,164.56,171.51,140.67,156.95,170.17,164.23
51.45,312.25,84.9,156.17,164.51,170.84,137.95,156.78,170.01,163.4
51.45,312.5,85.78,156.95,164.62,170.01,136.17,156.12,169.34,162.56
51.51,312.75,86.12,157.62,164.73,168.95,135.95,155.45,168.45,161.78
51.51,313.0,86.23,158.34,164.9,168.06,136.56,154.51,167.51,161.4
51.56,313.25,86.45,158.34,165.06,167.06,135.95,154.01,166.73,161.28
51.62,313.5,86.06,158.12,165.23,166.23,136.45,152.9,165.9,161.06
51.62,313.75,85.67,157.51,165.23,165.73,137.78,152.56,165.06,160.73
51.62,314.0,85.62,156.84,164.9,165.73,137.78,152.06,164.4,160.51
51.67,314.25,84.62,155.67,164.28,165.73,135.95,151.9,163.78,160.17
51.67,314.5,84.06,153.28,164.06,165.9,134.62,151.95,163.51,159.51
51.73,314.75,82.56,151.78,164.06,166.01,132.84,151.95,163.34,158.62
51.73,315.0,81.45,149.28,164.12,166.01,131.34,151.9,163.4,157.78
51.78,315.25,81.34,146.67,164.06,165.78,130.84,151.45,163.23,156.62
51.78,315.5,81.17,145.62,164.06,165.4,129.34,150.78,162.9,155.62
51.84,315.75,80.45,145.95,163.95,164.51,129.23,150.51,162.45,154.67
51.9,316.0,79.45,146.28,163.78,164.01,129.12,149.73,161.78,153.9
51.9,316.25,78.62,146.84,163.23,163.4,130.28,148.67,161.12,153.23
51.95,316.5,77.01,147.62,162.84,162.45,131.12,147.73,160.23,152.9
51.95,316.75,76.23,148.17,162.06,161.67,128.56,147.17,159.01,152.9
52.01,317.0,75.45,148.95,161.12,161.01,131.4,146.56,158.28,152.73
52.01,317.25,74.45,149.51,159.84,160.51,132.06,145.73,157.67,152.9
52.06,317.5,73.01,150.01,158.62,160.06,131.28,145.51,157.01,152.9
52.06,317.75,71.84,149.73,157.34,159.73,130.06,145.4,156.17,152.9
52.12,318.0,70.28,149.28,156.28,159.78,129.34,145.34,155.62,152.84
52.17,318.25,68.67,148.23,155.56,160.17,126.84,145.4,155.51,152.56
52.17,318.5,67.12,146.95,155.17,160.51,124.51,145.34,155.51,151.95
52.23,318.75,66.56,145.51,154.51,160.95,124.78,145.12,155.56,151.45
52.28,319.0,66.01,144.45,153.84,161.06,123.34,145.01,155.62,150.67
52.28,319.25,65.84,143.56,152.9,160.95,121.9,144.73,155.73,149.78
52.34,319.5,66.34,142.06,152.56,160.9,121.56,144.28,155.45,149.12
52.34,319.75,67.06,141.17,152.62,160.56,120.9,143.73,155.34,148.4
52.4,320.0,67.84,141.12,152.51,159.95,122.78,143.23,154.9,147.56
52.4,320.25,68.23,140.51,152.45,159.67,122.73,142.51,154.28,147.34
52.45,320.5,68.23,141.01,152.28,159.34,123.06,141.67,153.4,147.34
52.51,320.75,68.17,142.12,151.84,158.73,125.17,140.67,152.34,147.17
52.51,321.0,67.51,142.95,151.45,158.34,126.51,140.4,151.78,147.17
52.56,321.25,66.84,142.78,150.73,158.06,127.9,139.84,151.28,147.06
52.56,321.5,65.78,142.62,150.01,158.06,127.23,139.28,150.67,146.9
52.56,321.75,64.67,142.4,149.28,158.17,127.95,139.12,150.62,146.51
52.62,322.0,63.62,141.34,148.67,158.17,125.95,139.12,150.28,146.06
52.67,322.25,62.95,140.06,147.9,158.12,125.12,138.95,150.06,145.45
52.67,322.5,62.73,138.06,147.51,158.06,124.78,138.9,150.06,144.73
52.73,322.75,62.84,136.34,147.34,157.67,124.51,139.01,150.01,143.95
52.73,323.0,63.01,134.4,147.51,156.95,122.95,139.34,149.84,142.9
52.78,323.25,63.28,133.9,147.67,156.17,120.95,139.4,149.56,141.78
52.78,323.5,63.9,133.84,147.73,155.34,119.9,139.62,149.28,141.34
52.84,323.75,64.12,134.06,147.78,154.51,118.4,139.9,148.78,140.84
52.84,324.0,63.78,134.51,147.34,153.51,117.62,140.17,147.95,140.67
52.9,324.25,63.23,134.95,147.12,152.62,116.73,140.23,147.01,140.51
52.9,324.5,61.9,135.62,146.84,152.01,116.9,140.34,146.17,140.51
52.95,324.75,60.67,135.78,146.4,151.56,116.06,140.34,145.4,140.67
53.01,325.0,60.06,136.78,145.9,150.95,117.45,140.62,144.9,140.67
53.01,325.25,58.73,137.45,145.56,150.62,117.4,140.78,144.45,140.62
53.01,325.5,57.12,138.12,144.9,150.4,118.12,140.67,144.28,140.34
53.06,325.75,55.95,138.56,143.9,150.01,119.78,140.84,144.06,140.06
53.12,326.0,55.23,139.17,143.28,149.9,121.17,140.95,144.23,139.67
53.12,326.25,54.4,139.34,142.84,150.01,122.23,140.95,144.23,139.06
53.17,326.5,53.95,140.01,142.62,150.12,123.67,141.23,144.4,138.4
53.17,326.75,53.67,140.62,142.62,149.95,124.62,141.45,144.23,137.67
53.17,327.0,53.4,141.12,142.78,149.67,125.56,141.62,143.9,136.95
53.23,327.25,53.45,141.34,142.62,149.4,126.12,141.62,143.62,136.45
