internal_temp5_1,Seconds5_1,TC1_5_1,TC3_5_1,TC4_5_1,TC5_5_1,TC7_5_1,TC8_5_1,TC9_5_1
38.4,218.5,269.73,243.62,246.45,244.23,240.78,246.01,252.06
38.4,218.75,269.67,244.28,246.9,244.62,240.78,246.4,252.17
38.45,219.0,269.17,244.4,246.9,244.95,240.56,246.73,252.06
38.45,219.25,268.9,244.17,246.73,245.45,240.4,247.28,251.84
38.51,219.5,268.28,243.34,246.51,245.67,240.17,247.73,251.73
38.51,219.75,267.95,242.84,246.45,246.12,240.12,248.06,251.73
38.56,220.0,267.45,242.17,246.28,246.17,240.12,248.23,251.67
38.56,220.25,267.34,241.78,246.23,246.34,240.45,248.34,251.84
38.62,220.5,267.23,241.56,246.23,246.34,240.78,248.34,252.12
38.62,220.75,267.45,241.56,246.4,246.23,241.12,248.17,252.4
38.67,221.0,267.62,242.12,246.56,246.12,241.56,248.01,252.67
38.67,221.25,267.78,243.28,246.9,246.01,242.06,247.95,252.9
38.73,221.5,268.01,244.4,247.62,245.78,242.34,247.73,253.01
38.73,221.75,268.17,245.23,248.34,245.62,242.4,247.51,253.12
38.78,222.0,268.56,245.67,248.78,245.45,242.4,247.34,253.17
38.78,222.25,268.67,245.78,248.84,245.17,242.23,247.06,253.01
38.84,222.5,268.9,245.67,248.73,245.06,242.23,246.9,252.9
38.9,222.75,268.62,245.34,248.51,244.9,242.28,246.67,252.78
38.9,223.0,268.4,244.67,248.28,244.84,242.45,246.56,252.62
38.95,223.25,268.06,244.01,248.01,244.67,242.84,246.4,252.4
39.01,223.5,268.01,243.62,247.84,244.56,243.23,246.28,252.17
39.01,223.75,267.95,243.4,247.56,244.45,243.67,246.01,251.84
39.06,224.0,268.06,243.45,247.34,244.45,244.06,246.01,251.56
39.06,224.25,268.06,244.23,247.06,244.34,244.4,245.9,251.34
39.12,224.5,268.95,245.51,246.95,244.45,244.62,245.9,251.12
39.12,224.75,270.45,246.9,246.78,244.51,244.56,245.95,251.01
39.17,225.0,271.56,248.23,246.56,244.51,244.45,245.95,250.73
39.17,225.25,271.73,249.4,246.45,244.67,244.34,246.01,250.62
39.17,225.5,271.56,249.78,246.28,244.84,244.28,246.17,250.51
39.23,225.75,271.34,249.51,246.17,244.9,244.28,246.28,250.28
39.28,226.0,271.12,249.12,246.01,245.12,244.45,246.62,250.23
39.28,226.25,270.78,248.34,245.95,245.34,244.84,246.9,250.06
39.28,226.5,270.01,247.62,245.78,245.56,245.34,247.17,249.95
39.34,226.75,269.28,246.9,245.78,245.73,246.12,247.67,249.9
39.4,227.0,268.62,246.67,245.84,246.01,246.84,247.95,249.9
39.4,227.25,268.23,246.56,245.84,246.17,247.34,248.28,249.84
39.45,227.5,267.84,246.73,245.78,246.12,247.67,248.45,249.84
39.45,227.75,267.45,247.45,246.06,246.28,247.67,248.51,249.95
39.51,228.0,267.06,248.23,246.28,246.17,247.62,248.51,249.95
39.51,228.25,266.84,248.62,246.4,246.12,247.34,248.45,250.12
39.56,228.5,266.4,249.28,246.73,246.06,247.17,248.4,250.34
39.56,228.75,266.06,249.62,247.01,246.01,247.01,248.34,250.56
39.62,229.0,266.12,249.62,247.4,246.12,246.95,248.28,250.78
39.62,229.25,265.62,249.34,247.84,246.28,247.06,248.28,250.78
39.67,229.5,265.23,248.9,248.06,246.4,247.28,248.34,250.84
39.67,229.75,264.73,248.45,248.01,246.62,247.51,248.4,250.84
39.73,230.0,264.28,248.01,248.01,247.01,247.9,248.56,250.9
39.73,230.25,263.78,247.67,247.84,247.28,248.34,248.73,250.9
39.78,230.5,263.28,247.17,247.62,247.45,248.67,248.78,250.78
39.78,230.75,262.84,246.9,247.67,247.62,248.95,249.06,250.9
39.84,231.0,262.45,246.67,247.56,247.62,249.01,249.12,250.9
39.9,231.25,262.17,246.62,247.51,247.51,249.01,249.12,251.01
39.9,231.5,261.84,246.45,247.62,247.51,248.95,249.17,251.23
39.9,231.75,261.56,246.34,247.62,247.34,248.73,249.17,251.4
39.95,232.0,261.34,246.17,247.73,247.34,248.67,249.12,251.62
40.01,232.25,261.51,246.12,248.12,247.28,248.51,249.12,251.9
40.01,232.5,261.56,246.01,248.51,247.34,248.28,249.17,252.01
40.06,232.75,261.4,246.01,248.73,247.51,248.12,249.17,252.06
40.06,233.0,261.01,245.95,248.67,247.56,247.84,249.34,252.06
40.12,233.25,260.73,245.84,248.56,247.73,247.67,249.51,251.95
40.12,233.5,260.4,245.78,248.51,247.9,247.45,249.73,251.95
40.17,233.75,260.23,245.78,248.45,248.06,247.28,249.95,251.84
40.17,234.0,259.95,245.73,248.34,248.12,247.12,250.01,251.78
40.23,234.25,259.78,245.78,248.23,248.17,247.01,250.12,251.84
40.28,234.5,259.67,246.01,248.28,248.17,246.95,250.17,251.9
40.28,234.75,259.51,246.17,248.23,248.06,246.84,250.06,251.95
40.34,235.0,259.34,246.56,248.34,248.01,246.84,250.06,252.06
40.34,235.25,259.28,247.06,248.62,248.06,246.9,250.01,252.28
40.4,235.5,259.17,247.34,248.95,248.01,246.78,249.95,252.4
40.45,235.75,259.17,247.62,249.23,248.01,246.78,249.9,252.4
40.45,236.0,259.06,247.73,249.67,248.12,246.73,249.9,252.4
40.51,236.25,259.06,247.78,249.84,248.34,246.84,250.01,252.4
40.51,236.5,258.95,247.67,249.84,248.73,246.9,250.12,252.45
40.56,236.75,258.84,247.67,249.84,249.01,247.06,250.34,252.4
40.62,237.0,258.62,247.51,249.62,249.23,247.23,250.4,252.34
40.62,237.25,258.4,247.28,249.51,249.28,247.51,250.51,252.34
40.62,237.5,258.34,247.17,249.45,249.28,247.73,250.62,252.4
40.67,237.75,258.17,247.17,249.34,249.28,248.01,250.67,252.4
40.73,238.0,258.17,247.17,249.28,249.12,248.28,250.56,252.56
40.73,238.25,258.06,247.23,249.34,249.12,248.56,250.62,252.78
40.78,238.5,258.23,247.67,249.51,248.95,248.73,250.62,253.01
40.78,238.75,258.56,248.12,249.62,248.84,248.73,250.56,253.06
40.84,239.0,259.12,248.78,249.95,248.78,248.73,250.56,253.17
40.9,239.25,259.17,249.34,250.12,248.9,248.78,250.67,253.17
40.9,239.5,259.12,249.62,250.06,248.9,248.73,250.78,253.12
40.9,239.75,258.9,249.67,250.06,249.12,248.73,250.95,253.06
40.95,240.0,258.62,249.45,249.95,249.23,248.67,251.06,253.01
41.01,240.25,258.51,249.23,249.84,249.4,248.73,251.23,252.9
41.01,240.5,258.23,248.9,249.78,249.45,248.9,251.23,252.84
41.06,240.75,258.12,248.67,249.73,249.45,249.12,251.23,252.9
41.06,241.0,258.01,248.45,249.78,249.4,249.4,251.12,252.95
41.12,241.25,258.06,248.51,249.84,249.34,249.73,251.12,253.06
41.12,241.5,258.12,248.45,249.9,249.23,250.01,251.01,253.17
41.17,241.75,258.17,248.67,250.01,249.17,250.12,250.9,253.17
41.17,242.0,258.28,249.17,250.4,249.17,250.34,250.95,253.23
41.23,242.25,258.28,249.4,250.67,249.12,250.17,250.95,253.17
41.28,242.5,258.34,249.56,250.84,249.17,250.12,250.9,253.17
41.28,242.75,258.28,249.56,250.9,249.45,250.01,250.9,253.06
41.34,243.0,258.34,249.62,250.84,249.67,249.95,251.06,253.01
41.34,243.25,258.28,249.51,250.78,249.84,249.9,251.06,253.01
41.4,243.5,258.06,249.34,250.62,249.9,249.78,251.12,252.84
41.4,243.75,257.95,249.23,250.62,249.95,249.84,251.17,252.9
41.45,244.0,257.9,249.01,250.45,249.95,249.78,251.17,252.9
41.51,244.25,257.84,248.95,250.4,249.9,249.95,251.23,253.01
41.51,244.5,257.73,248.95,250.34,249.78,250.12,251.23,253.06
41.56,244.75,257.73,249.23,250.34,249.67,250.23,251.06,253.06
41.56,245.0,257.78,249.62,250.51,249.62,250.34,251.01,253.23
41.62,245.25,258.17,250.17,250.84,249.56,250.51,250.95,253.4
41.62,245.5,258.56,250.73,251.01,249.4,250.4,250.9,253.4
41.67,245.75,258.67,251.06,250.95,249.34,250.34,250.78,253.4
41.73,246.0,258.73,251.34,250.95,249.28,250.34,250.62,253.28
41.73,246.25,258.62,251.23,250.84,249.06,250.34,250.34,253.17
41.78,246.5,258.45,251.06,250.73,248.9,250.28,250.12,253.01
41.78,246.75,258.51,250.9,250.73,248.95,250.45,249.84,252.78
41.84,247.0,258.12,250.62,250.56,248.78,250.62,249.62,252.62
41.9,247.25,257.9,250.23,250.4,248.62,250.78,249.45,252.51
41.95,247.5,257.67,250.06,250.23,248.51,251.01,249.34,252.4
41.95,247.75,257.67,249.9,250.12,248.4,251.17,249.12,252.17
42.01,248.0,257.62,249.95,250.12,248.23,251.34,248.9,252.12
42.06,248.25,257.56,250.17,249.95,248.01,251.4,248.62,251.95
42.06,248.5,257.45,250.4,249.84,247.73,251.34,248.45,251.78
42.12,248.75,257.45,250.67,249.67,247.28,251.4,248.34,251.67
42.12,249.0,257.17,250.78,249.45,246.78,251.23,247.95,251.45
42.17,249.25,257.12,250.9,249.23,246.34,251.23,247.62,251.34
42.17,249.5,257.01,250.9,249.01,245.73,251.12,247.23,251.06
42.23,249.75,256.95,250.78,248.73,245.23,251.06,246.67,250.78
42.23,250.0,256.9,250.67,248.51,244.45,251.12,246.23,250.56
42.28,250.25,256.78,250.45,248.17,243.45,251.23,245.56,250.28
42.34,250.5,256.34,250.34,247.84,242.4,251.28,244.9,249.84
42.34,250.75,256.01,250.17,247.51,241.67,251.45,244.06,249.45
42.4,251.0,255.84,250.17,247.06,241.17,251.56,243.28,248.9
42.4,251.25,255.78,250.28,246.73,240.84,251.56,242.84,248.4
42.45,251.5,255.67,250.56,246.17,240.73,251.62,242.45,247.84
42.51,251.75,255.51,250.95,245.56,240.73,251.51,242.17,246.78
42.51,252.0,254.95,251.17,245.01,240.84,251.51,242.12,245.78
42.56,252.25,254.12,251.28,244.28,240.95,251.45,242.23,244.73
42.56,252.5,253.78,251.34,243.23,241.01,251.4,242.12,243.56
42.62,252.75,253.17,251.4,242.23,241.12,251.4,242.12,242.84
42.67,253.0,251.78,251.23,241.45,241.17,251.28,241.95,242.23
42.67,253.25,250.67,251.01,241.06,241.12,251.23,241.67,241.84
42.73,253.5,249.28,250.84,240.9,240.78,251.34,241.4,241.62
42.73,253.75,247.12,250.56,241.01,240.4,251.4,241.01,241.45
42.78,254.0,245.17,250.4,241.12,239.95,251.56,240.45,241.34
42.84,254.25,243.01,250.23,241.28,239.45,251.56,239.95,241.23
42.84,254.5,241.17,250.01,241.28,239.06,251.62,239.4,241.12
